Field;Theme;Date;City;Points;Question;Answer
Cadre Réglementaire;Responsabilité civile;mai 2018;Niolon;3 points;Citez les trois éléments qui doivent être réunis pour que la responsabilité civile d'un DP puisse être engagée. Donnez un exemple. (3,5 pts);"- La présence d'un préjudice
- La présence d'une faute (volontaire ou involontaire)
- La présence d'un lien de causalité (lien entre la faute et le préjudice, de cause à effet)

On s'attachera à ce que l'exemple soit bien en relation avec la fonction de DP comme demandée dans la question.
Exemple pour un DP : le fait d'autoriser une mise à l'eau dans une zone soumise à une forte houle, ayant entrainé des blessures suite à des chocs sur des roches ou entre plongeurs ; bascule arrière autorisée sans vérification de la présence d'autres plongeurs ; etc &. Le jury évaluera la pertinence des exemples."
Cadre Réglementaire;Aptitudes et qualifications;mai 2018;Niolon;2 points;Expliquez la différence entre « qualifications » et « aptitudes » (au sens du code du sport). (2 pts);"Aptitudes
Une aptitude est une compétence reconnue temporairement par le DP :
- pour une plongée
- dans les conditions (mer, météo, paramètres,&) spécifiques de cette plongée.
- à partir d'un document (diplôme, brevet) ou à l'issue d'une plongée d'évaluation ou après une discussion ou tout autres faisceaux d'indices permettant de reconnaître les compétences du plongeur
Elles doivent être reconnues conformément au tableau III-14a du Code Du Sport.
Cette reconnaissance peut se faire sans présentation d'un diplôme jusqu'à 40m


Qualification
Une qualification est donnée par un organisme certificateur et est identifiée par la présentation d'un document (diplôme, brevet), qui implique :
- Un temps de formation ou une équivalence
- Des procédures de certification (examen ou évaluation continue)
- Un cursus de formation
- Un organisme de certification (la FFESSM dans ce cas)
- Eventuellement un coût de formation
Une qualification peut avoir un temps de validité limité (exemple : les TIV) ou non (les autres diplômes de la FFESSM)."
Cadre Réglementaire;Espèces protégées;mai 2018;Réunion;4 points;Citez quatre espèces marines protégées dans les espaces sous-marins (faune et flore) gérés par la France (Hexagone, dom et tom);"Citez les espèces marines protégées en méditerranée (faune et flore) :
"" Les Cétacées
"" La Grande Nacre
"" La Grande Cigale de Mer
"" La Datte de Mer
"" La Patelle Géante
"" L'Oursin Diadème
"" Le Mérou
"" Le Phoque Moine
"" La Tortue Caouanne
"" Les Herbiers de Posidonie


Les espèces marines protégées à l'île de La Réunion (faune et flore) :
"" Tortues
"" Cétacés : Baleines, Rorqual, Dauphins, Orques, Bélouga, Marsouins, Cachalots.
"" Siréniens : Dugong (Dugong dugon), Lamantin.
"" Pinnipèdes : Otaries, phoques."
Cadre Réglementaire;Agrément et délégation;sept 2018;Niolon;3 points;a) Qu'est ce qu'une fédération agréée ? Qu'est ce qu'une fédération délégataire ? (3 points);""" Fédération agréée : une fédération agréée aux termes de l'article L. 131-8 du code du sport, participe à la mise en oeuvre d'une mission de service public relative au développement et à la démocratisation des activités physiques et sportives. A ce titre, elle est notamment chargée de promouvoir l'éducation par les activités physiques et sportives, de développer et organiser la pratique de ces activités, d'assurer la formation et le perfectionnement de ses cadres bénévoles et de délivrer les licences et titres fédéraux. Elle est soumise au contrôle de l'Etat et doit avoir des statuts conformes, à la fois aux dispositions des articles R 131-3 à R 131-15 du code du sport relatifs à l'agrément des fédérations sportives, et aux fédérations sportives agréées et à leur règlement disciplinaire type. (1,5 pts)

"" Fédération délégataire : Pour chaque discipline sportive l'état donne délégation pour une durée de 4 ans à une fédération unisport et agréée. L'état délègue ainsi une partie de sa mission de service public. Les fédérations délégataires ont alors pour mission :
o d'organiser les compétitions sportives à l'issue desquelles sont délivrés les titres internationaux, nationaux, régionaux ou départementaux,
o de fixer les règles relatives à l'organisation des compétitions, à l'exception des domaines touchant à l'ordre public, et dans le respect des dispositions législatives et réglementaires propres à certains domaines (violence, dopage, pouvoir disciplinaire, règlement médical,..).
o de définir les règles techniques et administratives propres à leur discipline,
o (En pratique cette délégation est étendue, et la FFESSM est consultée en priorité sur tous les dossiers techniques et politiques qui touchent la discipline). (1,5 pts)"
Cadre Réglementaire;Aptitudes GP;mai 2019;Niolon;1 points;Quelle est la durée de validité de l'aptitude (A1) « intervention sur un plongeur en difficulté à 25m » ? (1 pt);9 mois.
Cadre Réglementaire;PESH;mai 2019;Niolon;2 points;Quelles sont les différentes obligations/conditions pour réaliser un baptême d'une personne adulte en situation de handicap ?;""" 0-6m
"" 1 pour 1
"" Encadrement qualifié pour le handicap.
"" Certificat médical (le médecin signataire doit être un médecin fédéral de la FFESSM ou un médecin titulaire d'un diplôme de médecine physique, sauf pour les baptêmes effectués à une profondeur inférieure à 2 m ou un médecin généraliste suffit.)
"" Pour le baptême sans licence à - 2 m obligation d'un CACI par tout médecin
"" Au-delà de 2 m et - 6 m (toute autre pratique : médecin fédéral, spécialisé ou du Sport.
(0,5 points par bonne réponse)"
Cadre Réglementaire;Mise en danger d autrui;juil 2019;Trébeurden;3 points;On évoque de temps en temps le délit de mise en danger délibérée d'autrui. En quoi ce délit peut-il concerner notre activité ? Donner des exemples.;"Mise en danger délibérée d'autrui:
Ce délit est créé pour sanctionner des manquements de nature à mettre en péril la vie d'autrui sans qu'aucun préjudice n'ai été constaté: Le fait d'exposer directement autrui à un risque immédiat de mort ou de blessure de nature à entrainer une mutilation ou une infirmité permanente par la violation manifestement délibérée d'une obligation particulière de sécurité ou de prudence imposée par la loi ou règlement est puni d'un an d'emprisonnement et de 15 000¬ d'amende... Le code du sport est un règlement, donc oui, de fait ce délit concerne notre activité.
Exemple : réaliser un baptême à 30m de fond, réaliser des plongées hors des limites de profondeur définies par le Code du Sport, etc."
Cadre Réglementaire;MF1;juil 2019;Trébeurden;4 points;"Un E2 fédéral souhaite entrer en cursus de formation MF1 et vient vous demander conseil pour bénéficier de l'exemption de stage initial.
Indiquez-lui la procédure à suivre pour obtenir son livret pédagogique, les pièces à fournir ainsi que les personnes habilitées à les délivrer.";"Documents à fournir pour le dossier d'exemption de stage initial :
- brevet de Guide de Palanquée - Niveau 4 de la FFESSM ou carte de Guide de Palanquée Associé de la FFESSM ou du Niveau 4 de l'ANMP ou du BP-JEPS,
- brevet d'Initiateur,
- attestation de réalisation de l'UC10 du cursus Initiateur ou du GC4,
- attestation de réalisation de 20 séances d'enseignement dans l'espace 0-20 m à l'issue de l'acquisition de l'UC10, dont au moins 10 en milieu naturel au-delà de 6m (hors fosse). Cette attestation doit être validée par le DP licencié à la FFESSM et par le président du club,
- si le candidat remplit bien toutes les conditions, la demande de délivrance du livret pédagogique se fera auprès du président de la CTR qui notera les allégements et exemptions."
Cadre Réglementaire;Recycleurs;juil 2019;Trébeurden;2 points;eux plongeurs en recycleur fermé électronique ayant terminé leur premier cursus de formation fédéral (plongées au nitrox) souhaitent venir plonger avec votre club. Selon le code du sport, quelles sont les conditions à vérifier en tant que DP pour pouvoir les accepter sur votre bateau ?;"Les plongeurs sont au minimum N3 et sont donc autonomes. En ce qui concerne le DP, il doit :
- être certifié nitrox confirmé (PN-C),
- vérifier que les machines sont certifiées CE (plaque ou gravure CE),
- vérifier que les plongeurs ont bien les certifications nécessaires (N3, nitrox confirmé et plongeur recycleur fermé à diluant air),
- lors d'une plongée avec un recycleur organisée au-delà de 6 mètres, les plongeurs doivent avoir accès à un système respiratoire de secours en circuit ouvert délivrant un ou plusieurs mélanges respirables autorisant le retour en surface. En milieu naturel, lorsque la personne encadrant la palanquée utilise un recycleur, le système respiratoire de secours doit être indépendant du recycleur."
Cadre Réglementaire;Equipement personnel;sept 2019;Niolon;3 points;"Citez l'équipement obligatoire en milieu naturel pour :

a) Les plongeurs encadrés et les plongeurs en autonomie,

b) Les plongeurs encadrant une palanquée.";"a) En milieu naturel, chaque plongeur encadré au-delà de 20 mètres et en autonomie, quelque soit la profondeur (un PA12 est concerné), un plongeur est muni :
- d'un équipement de plongée permettant d'alimenter en gaz respirable un équipier sans partage d'embout
- d'un système gonflable au moyen de gaz comprimé lui permettant de regagner la surface et de s'y maintenir,
- d'équipements permettant de contrôler les caractéristiques personnelles de sa plongée et de sa remontée.

b) En milieu naturel, la personne encadrant la palanquée est munie :
- d'un équipement de plongée avec deux sorties indépendantes et deux détendeurs complets.
- d'un système gonflable au moyen de gaz comprimé lui permettant de regagner la surface et de s'y maintenir,
- d'équipements permettant de contrôler les caractéristiques de la plongée et de la remontée de sa palanquée."
Cadre Réglementaire;Examens GP;sept 2019;Niolon;2 points;"Vous êtes chargé d'organiser un examen guide de palanquée au niveau de votre Codep.

a) Qui désigne le président du jury et le délégué de la CTR ? (0,5 pt)

b) Quel est le jury minimum de l'examen ? (1,5 pt)";"a) La CTR désigne le président du jury et le délégué de la CTR.

b) Au moins deux MF2 et/ou BEES2 ou DE-JEPS (E4) dont l'un est délégué par la CTR responsable de l'examen. Le Président du Jury est désigné également par la CTR.
En cas d'un jury composé d'E4 l'un de ces E4 ne doit pas être licencié dans l'établissement organisateur.
Un président de jury au moins MF2, BEES2, DE-JEPS, pouvant cumuler la fonction de délégué CTR.
Le jury de chaque atelier doit comporter au moins un MF2, BEES2, DE-JEPS ou DES-JEPS sauf pour les épreuves du premier groupe (condition physique)."
Cadre Réglementaire;Affichage établissements APS;sept 2020;Niolon;2 points;Quelles sont les pièces obligatoires à afficher et à détenir dans un local de gonflage au sein d'une structure de plongée ?;"- Liste des personnes habilitées à gonfler, 0.5 pt
- Consignes d'utilisation et de gonflage, 0.5 pt
- Manuel et consignes d'utilisation du compresseur (fabricant), 0.25 pt
- Cahier d'entretien, 0.25 pt
- Cahier de gonflage, 0.25 pt
- Analyse de l'air (au moins 1 annuelle) 0.25 pt"
Cadre réglementaire;Autres titres de participation;oct 2020;Hendaye;3 points;Définir et lister les ATP (Autres Types de Participation) au niveau de la FFESSM.;"Les ATP sont des activités de la FFESSM ne nécessitant ni licence ni certificat médical (hormis lorsque l'activité relève d'une autre réglementation, par exemple dans le cas des colonies de vacances (ACM) et plus généralement de la réglementation de type « CVL », pour lesquelles le certificat médical reste obligatoire). (1 pt)
On y retrouve :
- Baptême (sauf handicapé)
- Pack découverte
- Première étoile de mer
- Randonnée subaquatique
- PE12
- Accueil de groupe (collectif)
- Secourisme."
Cadre Réglementaire;TIV;juil 2021;Trébeurden;4 points;"a) En s'informant sur l'arrêté du 20 novembre 2017 relatif aux équipements sous pression, le président de votre club vous questionne sur l'inspection périodique et la requalification pour les bouteilles utilisées en plongée subaquatique. Il souhaite connaître la différence entre les deux systèmes, leurs périodicités et leurs conditions de réalisation ? (2 points)

b) Suite à l'installation d'un tampon de 50 litres / 350 bar dans le local compresseur, le président du club vous demande s'il doit procéder à des formalités administratives, si oui, justifiez lui et décrivez ces formalités ? (2 points)";"a) L'inspection périodique (Article 15 de l'arrêté du 20 novembre 2017) est une inspection visuelle. Elle a lieu aussi souvent que nécessaire. Les périodes maximales sont comptées à partir de la date de la mise en service ou de la précédente inspection périodique ou requalification périodique.
La période maximale est fixée au maximum à 1 an pour les bouteilles pour appareils respiratoires utilisées pour la plongée subaquatique. Un TIV procède à une inspection visuelle en respectant le cahier des charges. (1 point)

Requalification (Article 18 de l'arrêté du 20 novembre 2017)
L'échéance maximale des requalifications périodiques est fixée à partir de la date de mise en service ou de la dernière requalification périodique :
- deux ans pour les bouteilles pour appareils respiratoires utilisées pour la plongée subaquatique (non inspecté visuellement tous les ans) ;
- six ans pour les bouteilles de plongée dont l'inspection périodique a été effectuée au moins annuellement.

Un organisme habilité par la DREAL procède à une inspection ; une épreuve hydraulique ; la vérification des filetages. (1 point)

b) Oui (Article 7 de l'arrêté du 20 novembre 2017) (0,5 point)
Sont soumis à la déclaration et au contrôle de mise en service les récipients sous pression de gaz dont la pression maximale admissible PS est supérieure à 4 bar et dont le produit pression maximale admissible par le volume est supérieur à 10 000 bar.l ; ce qui est le cas ici : 350 × 50 = 17 500 (0,5 point)
Ï Le contrôle de mise en service (CMS). (0,5 point)
Son objectif est de vérifier :
- le respect des conditions d'installation et d'exploitation
- l'absence d'endommagement de l'équipement (transport)
- la présence et la capacité à fonctionner des accessoires de sécurité prévus (soupapes...)
- la présence des dossiers et documents requis pour son exploitation (registre, notice, &).
Le CMS peut être réalisé par une personne compétente (exploitant, société extérieure) ; une attestation doit être établie et ce contrôle doit être consigné dans le registre d'exploitation.
La déclaration de mise en service (DMS) est a effectuer auprès de la DREAL (télédéclaration : https://lune.application.developpement-durable.gouv.fr/externe/Accueil.do)
Elle comporte :
- les principales caractéristiques de l'équipement
- le nom du fabricant et le pays de fabrication
- le numéro de l'organisme notifié le cas échéant
- la date de mise en service
- les coordonnées de l'exploitant
- le lieu d'installation
- une copie de la déclaration de conformité délivrée par le fabricant pour l'équipement ou, le cas échéant, pour l'ensemble relevant des dispositions de l'article R. 557-9-2 et auquel appartient l'équipement.
L'exploitant reçoit une preuve de dépôt de sa déclaration.(0,5 point)"
Cadre Réglementaire;Directeur de plongée;oct 2021;Niolon;4 points;"a) Indiquez le niveau minimal du directeur de plongée dans les différentes conditions proposées dans le tableau suivant (3 pt)

b) Votre club dispose de plusieurs moniteurs pouvant assurer la fonction de directeur de plongée. Comment choisissez-vous celui qui en assurera la fonction ? (1 point)";Pas de réponse
Cadre Réglementaire;Directeur de plongée à l étranger;oct 2021;Niolon;3 points;"Votre club organise un séjour plongée à l'étranger, pendant lequel vous serez le directeur de plongée.

a) En fonction de quels textes organisez-vous la plongée ? (1 point)

b) En cas d'accident, comment votre responsabilité pénale peut-elle être engagée ? (2 points)";"a) Le club étant français et la sortie ayant été organisée depuis la France, le Code du Sport est applicable. Les plongées seront donc organisées de la même façon qu'en France.
Cependant, si la réglementation locale est plus contraignante, elle devra également être prise en compte.

b) Etant donné que l'accident se produit dans un pays étranger entre personnes physiques et/ou morales de droit français, la responsabilité pénale (voire civile) peut être engagée au regard des textes français s'appliquant (cf. question précédente) :
La justice française évaluera la situation à partir du Code du Sport, mais ne regardera pas la législation locale du pays d'accueil. La procédure française sera déclenchée sur plainte de la personne accidentée ou ses ayants droit."
Décompression;Problèmes de tables fédérales;oct 2021;Niolon;6 points;"Une palanquée fait une plongée de 17 min à 49 m le matin. Elle souhaite replonger à 14h sur une profondeur de 33 m, avec une durée de paliers de 15 min maximum et en maximisant leur temps de plongée.

a) Sachant que la plongée du matin ne peut commencer avant 8h30, à quelle heure au plus tard se sont-ils immergés ? (1.5 points)

b) Quelle durée maximale peuvent-ils planifier pour leur plongée de l'après-midi et à quelle heure sortiront-ils de l'eau ? (1 point)

c) Ils ont finalement la possibilité de plonger avec un mélange nitrox l'après-midi, au choix parmi 4 mélanges (28, 32, 36 et 40% O2). Quel mélange doivent-ils choisir ? (1 point)";"a) Pour cette plongée, la DTR est de 30 min (GPS J), ce qui donne une durée d'immersion totale de 47 min et donc une sortie de l'eau au plus tôt à 9h17.
L'intervalle entre les 2 plongées sera au maximum de 4h43. Le tableau I nous permet d'optimiser la plongée successive pour un intervalle d'au moins 4h30.
L'heure de mise à l'eau maximale de la 1ère plongée sera donc: Pour un intervalle optimal de 4h30 on se met à l'eau le matin à 8h43 (donc bien après 8h30...).
HS: 8h43 + 17 + 30 = 9 h 30

b) Le coefficient d'azote résiduel est de 0.89, ce qui donne une majoration de 6 min (tableau II).
La durée maximale du palier sera de 11 min, pour une durée fictive de la plongée de 25 min. Au-delà, les paliers seraient supérieurs à 15 min.
En retirant la majoration, ils peuvent donc planifier une durée maximale de plongée de 19 min (durée d'immersion de 33 min).
HS: 14 h + 33 mn = 14 h 33

c) En considérant une PPO2 maximale de 1.6 bars, la profondeur maximale admissible pour chaque mélange est :
%O2 28 32 36 40
Profondeur maximale (m) 47 40 34 30
Bien que la profondeur d'entrée dans les tables soit 35m, la profondeur réelle sera de 33m, ce qui autorise nos plongeurs à choisir un mélange Nitrox à 36% O2."
Décompression;Problèmes de tables fédérales;juil 2021;Trébeurden;5 points;"Vous participez à une plongée « vintage » en mer et vous gérez votre décompression avec les tables fédérales.
La plongée se déroule sur un tombant atteignant 51 mètres. Sachant que la thermocline est à 8 mètres et que vous ne souhaitez pas effectuer de palier dans une eau froide, mais rester le plus longtemps possible au fond.
Votre heure d'immersion est 10h17

a) Réalisez le profil de la plongée, en indiquant les différents paramètres. (2 points)

b) A l'issue de la plongée, 14 minutes après la sortie de l'eau, l'ancre du bateau est enraguée. Elle est sur un fond de 13 mètres. Pour la libérer, il faut 4 minutes de temps total. Choisissez-vous de faire une plongée consécutive ou une plongée successive, justifiez ? La conclusion obtenue ne vous interpelle-t-elle pas ? Si oui pourquoi ? (3 points)";"a) Réaliser le schéma.
Pas de palier au-delà de 8 m, donc palier à 6 m. Début des paliers à 9m sur la table 52m à partir de 20 min, on retient donc 15 min. (1 point) La DTR est prise pour 51 m et non 52 m (déco prise dans la table), ce qui explique la différence d'une minute. Heure sortie : (1 point)

b) Si on s'immerge immédiatement, la plongée sera consécutive (on prend la plus grande profondeur et on cumul les temps). Donc profondeur = 51 mètres et temps = 5 + 4
Si on attend 1 min, on passe en successive :
- tableau 1 : GPS : I IS : 15 min / Azote résiduel : 1,17
- tableau 2 : Azote résiduel : 1,17 absent, prendre 1,20 (supérieur) profondeur 13 m absent, prendre la valeur supérieur (15m). Soit 70 min de majo.
- on attends donc une minute et o passe en successive car aucune autre plongée n'est prévue. En consécutives, on a 29 min de palier contre aucun en successive. (1 point pour aborder consécutive / 1 point pour aborder successive / 1 point pour avoir fait le choix de la successive vs consécutive).

Commentaire : L'originalité de ce sujet ""théorique"" ne doit pas inciter à ce genre de pratique ""limite"" et doit interpeller le moniteur sur le fait qu'en modifiant un intervalle d'une minute, on passe d'une remontée avec 29 mn de palier à une remonté sans palier. Une pratique à proscrire évidemment dans la réalité"
Décompression;Problèmes de tables fédérales;oct 2020;Hendaye;4 points;"Vous utilisez les tables fédérales comme moyen de décompression et vous présenterez un schéma de plongée en appui de vos réponses.

Le matin, vous travaillez avec un stagiaire pédagogique et un élève en formation N3. Ils utilisent un ordinateur dont la vitesse de remontée est à 10 m/min. Vous réalisez une plongée à 39 m de profondeur et décollez du fond à 20 min. Les ordinateurs donnent une DTR de 15 min et un premier palier à 6 m.

a) Présentez la procédure de remontée que vous allez mettre en place pour la palanquée (vitesse de remontée, paliers).

L'après-midi, 4h20 après la sortie de la première plongée, vous encadrez un stagiaire N4 qui désire travailler la DTMR de 25 m. Lui aussi utilise les tables fédérales comme procédure de décompression. Vous allez effectuer 2 remontées jusqu'à 8 m. La première remontée commence à 5 min de plongée. Sa vitesse de remontée est parfaite. La redescente est quasi instantanée, 4 minutes après, vous entamez la seconde remontée. Arrivée à 8 m après une bonne vitesse de remontée, vous décidez de redescendre à 15 m et y rester 5 minutes. Une fois arrivés au palier de 3 m, vous lui demandez de sortir le parachute. Lors du lancement de son parachute (1 min), il se fait embarquer et arrive en surface.

b) Quelle procédure allez-vous mettre en place ?";"a) Ma vitesse de remontée est comprise entre 15 et 17 m/min alors que le stagiaire et l'élève en formation ont une vitesse de remontée à 10 m/min.
Ainsi, tout le monde devra remonter à 10 m/min pour garder la cohésion de palanquée. (1pt)
Faisant à ce moment-là une remontée lente, le temps de remontée jusqu'au palier de 6 m doit être compris dans mon temps de plongée pour connaitre mes paliers. Mon temps de plongée sera alors de 20 + 4 = 24 min impliquant alors comme paliers : 2 min à 6 m et 19 min à 3 m. Le stagiaire et l'élève en formation ont quant à eux 1 min à 6 m et 9 min à 3 m.
Ainsi toute la palanquée fera mes paliers c'est-à-dire 2 min à 6 m et 19 min à 3 m pour garder la cohésion de palanquée. (1pt)
Mon GPS pour la plongée de l'après-midi sera J.

b) N2 résiduel 0,91
Majoration 11mn
Temps de plongée 16mn
Temps de plongée fictif 27mn
interruption de paliers donc refaire 2mn à 3m"
Décompression;Problèmes de tables fédérales;sept 2020;Niolon;3 points;"A l'occasion d'un stage technique tous niveaux, vous avez effectué à 10h une plongée technique de 19 mn à 42 m. Il est prévu dans l'après midi une plongée de recyclage à l'assistance SSG pour un N3 qui a également plongé à 10h30 pendant 16 mn, à 37m. Les paramètres de la seconde plongée sont 30 m et 24 mn.
A quelle heure au plus tôt pourrez-vous plonger afin de ne pas avoir plus de 5 mn de paliers à la seconde plongée ?";"1 ère plongée :
Exécuté Tables

Vous : 42 m  42 m paliers : 1' à 6m DTR = 17'
19'  20' 12' à 3 m GPS = I
Hs = 10h00 + 19' + 17' = 10h36

N3 : 37m  38 m paliers : 8' à 3 m DTR = 11'
16'  20' GPS = H
Hs = 10h30 + 16' + 11' = 10h57

2 ème plongée :

30 m  30m Paliers : 4' à 3m DTR = 7'
24  25' GPS = H

Afin de ne pas avoir plus de 5 mn de paliers à la seconde plongée, il faut que la majoration soit de 1 mn maximum.

Recherche de l'intervalle minimum :
Tableau II :
Prof 2 ème plongée : 30m Azote résiduel = 0.82
Maj maxi : 1'
Tableau I :
Vous : GPS = I Intervalle = 8h30 H 2 ème plongée = 10h36 + 8h30 = 19h06
N3 : GPS = H Intervalle = 8h00 H 2 ème plongée =10h57 + 8h00 = 18h57
La seconde plongée pourra débuter au plus tôt à 19h06"
Décompression;Problèmes de tables fédérales;sept 2019;Niolon;5 points;"Planifiez une journée de deux plongées explo pour trois plongeurs niveaux II dont vous êtes le guide : deux sites sont au programme : un à 25 mètres et un à 32 mètres.
Le directeur de plongée vous autorise pour chacun 45 minutes (temps total) avec un départ à 9 heures et un départ à 15 heures.

a) Choisissez l'ordre, la durée des plongées pour que vos plongeurs profitent correctement de leur journée. (3 points)

b) Qu'est-ce que la majoration ? Vous pouvez illustrer votre réponse par un petit schéma. (2 points)";"a) Pas de profil inversé
1ere plongée : 9h : 32 m 28 min : 14min à 3m ; DTR 17min GPS : I ; HS 9h45
Intervalle : 5h15 majo : 8min (0,87 => 0,89)
2e plongée: 15h : 25m 32min : 10min à 3m ; DTR 12min ; HS 15h44

b) La majoration est le temps qu'il aurait fallu rester à la profondeur à laquelle on va aller lors de la deuxième plongée, pour être saturé de la même façon qu'au moment de commencer cette 2e plongée (c'est à dire après l'intervalle de surface). Ce temps représente le taux de saturation de la PPN2 du plongeur juste avant la deuxième plongée. Il s'agit d'un temps fictif à rajouter au temps réellement passé lors de la deuxième plongée permettant de calculer la décompression."
Décompression;Problèmes de tables fédérales;juil 2019;Trébeurden;6 points;"Vous amenez 2 plongeurs en préparation PA40 dans une célèbre fosse belge à 35m pour 2 plongées d'entraînement en milieu artificiel pendant l'hiver. Vous profitez de l'occasion pour plonger avec les tables fédérales de manière à leur faire réviser les procédures.
Première plongée : Vous passez 11 minutes à 35m (temps de descente compris) puis un exercice d'intervention sur plongeur en difficulté vous amène à percer la surface au bout d'1min30s de remontée.
- Quel auraient été les paliers éventuels ainsi que le GPS une fois en surface si l'élève n'avait pas fait de remontée rapide ? (1 point)
- Quelle est la procédure que vous allez mettre en place suite à la remontée rapide ? (1 point)
- Quels vont être les paliers et GPS suite à la remontée rapide ? (1 point)
Deuxième plongée : Vous aviez initialement prévu un intervalle de 4h entre les deux plongées.
- Suite à l'incident du matin, quel va être le nouvel intervalle de surface pour atteindre au moins le même niveau d'azote résiduel qu'initialement prévu ? Quelle sera la majoration pour une nouvelle plongée à 35m ? (1 point)
- Pendant le repas, un élève vous fait remarquer qu'il y a une grotte artificielle à 10m dans laquelle il serait possible de débriefer après les exercices& Que lui répondez-vous ? (1 point)
Durant la deuxième plongée, vous passez 10 min à 35m puis entamez une remontée de 5 minutes pour atteindre 3 mètres.
- Veuillez indiquer la DTR ainsi que les paliers éventuels (1 point)";"11min à 35m => palier obligatoire de 2 min à 3m, GPS=F

Procédure de remontée rapide si le plongeur en est capable et peut être accompagné : 3min maxi pour redescendre à mi- profondeur et y effectuer un palier de 5min. Durée de la plongée : du début de la plongée initiale à la fin du palier à la demi-profondeur (au minimum un palier de 2 min à 3 mètres).

Total de 11+1,5+3+5=20min30s à 35m => palier de 11min à 3m et GPS=I

Avec un GPS de F au bout de 4 heures on aurait atteint 0,87. Avec I au lieu de F, il faut attendre 5 heures pour atteindre 0,87. A 35m on aura une majoration de 6min.

Contrairement à l'ordinateur, la table ne prendra pas en compte la désaturation à 10m pendant le débriefing qu'elle considère comme du temps fond. L'apport pédagogique d'un débriefing à chaud est donc contrebalancé par un allongement conséquent du temps fond, d'autant plus que sur la plongée successive de l'après-midi il faudra prendre en compte la majoration. Le moniteur attendra donc la sortie en surface pour débriefer les élèves.

La vitesse de remontée est inférieure à 15m par minute il faut donc adopter une procédure de remontée lente intégrant le temps de remontée : 10min +6min (majo) +5min = 21min à 35m
Palier obligatoire de 11min à 3m. DTR=5+11+0,5=16min 30s"
Décompression;Problèmes de tables fédérales;mai 2019;Niolon;4 points;"a) Deux niveaux 3 s'immergent pour une première plongée sur une épave à 45m. Ils ne souhaitent pas dépasser les 20 minutes de paliers. Quels seront les paramètres de leur plongée (Durée, paliers) ainsi que le GPS ? (2 points)

b) Les deux niveaux 3 souhaitent faire une seconde plongée l'après-midi sur une roche à 18 m durant au minimum 45 minutes. Ils ne veulent pas faire plus de 5 minutes de palier. Quel sera l'intervalle minimum entre les deux plongées ? (2points)";"a) "" S'ils ne souhaitent pas dépasser 20 minutes de paliers, ils devront remonter au bout de 20 minutes sur l'épave.
"" Les paramètres seront :
"" Profondeur : 45 m
"" Durée : 20 min
"" Paliers : 3 min à 6 m ; 15 min à 3 m
"" GPS : I

b) "" Profondeur : 18m
"" Durée minimale : 45 min
"" Palier max : 5min à 3 m
"" Ils devront avoir une majoration maximum de 15 min.
"" Dans le tableau II « détermination de la majoration », déterminer l'azote résiduel correspondant aux valeurs.
Profondeur 18m / majoration 15 min è azote résiduel 0,92

"" Dans le tableau I « détermination de l'azote résiduel », déterminer l'intervalle maximum correspondant aux valeurs azote résiduel 0,92 / GPS I è intervalle 3h30
"" L'intervalle entre les deux plongées ne devra pas être inférieur à 3h30."
Décompression;Problèmes de tables fédérales;sept 2018;Niolon;4 points;"a) Deux plongeurs PA40 descendent à 36m pendant 27 minutes. Ils sortent de l'eau à 10h. Ils décident de replonger à 26 m durant 32 min mais ils ne veulent pas faire plus de 12 min de palier. A partir de quelle heure pourront-ils replonger ? (2 pts)

b) Un 3eme plongeur se joint à eux pour la plongée de l'après-midi. Il a lui aussi fait une première plongée mais son intervalle de surface est de 4h00. S'il respecte leurs paramètres (26 m et 32') il aura 25' de paliers. A qu'elle profondeur max a t-il pu descendre à sa première plongée et combien de temps maximum a-t-il pu y rester sachant qu'il n'a pas eu de paliers. (2 pts)";""" 12' max => Durée plongée max = 35' => majo max (35-32) = 3'
"" Tableau II : 28m et majo max 3' => Azote résiduel max 0.84
"" Tableau I : K (première plongée 36 m 27 ) et azote résiduel 0.84 => Intervalle surface = 7h00
"" Donc départ 2eme plongée à partir de 17h00 (2 pts)



"" 25' de paliers => majo comprise entre 41'-32'=9' et 45-32 =13'
"" Tableau II : azote résiduel supérieur à 0.89 et inférieur ou égal à 0.95
"" Tableau I : lettre I à N avec intervalle de 4h00
"" Lettre I mini et Pas de paliers => plongée à 15 m avec une durée de 75' (2 pts)"
